Category,Product,Unit_Price,Order_Date,City,Sales_Channel,Units_Sold,Stock_Available,Total_Sales
Kitchen Tools,Juicer,1747,2024-01-01 00:00:00,Amritsar,Offline,6,188,10482
Toys & Games,Lego Set,5297,2024-01-01 01:00:00,Gurugram,Online,3,53,15891
Furniture,Shoe Rack,2275,2024-01-01 02:00:00,Chandigarh,Offline,5,199,11375
Stationery,Art Colors,1480,2024-01-01 03:00:00,Amritsar,Offline,9,132,13320
Electronics,Camera,133355,2024-01-01 04:00:00,Jalandhar,Online,4,182,533420
Electronics,Smartwatch,2269,2024-01-01 05:00:00,Ludhiana,Offline,3,136,6807
Gardening,Fertilizer,991,2024-01-01 06:00:00,Gurugram,Offline,6,191,5946
Automotive,Tyre Inflator,3495,2024-01-01 07:00:00,Gurugram,Online,3,46,10485
Electronics,Tablet,16685,2024-01-01 08:00:00,Mohali,Offline,1,114,16685
Toys & Games,Doll House,1661,2024-01-01 09:00:00,Amritsar,Offline,5,11,8305
Footwear,Running Shoes,1782,2024-01-01 10:00:00,Jalandhar,Online,9,43,16038
Stationery,Backpack,1952,2024-01-01 11:00:00,Gurugram,Offline,7,181,13664
Kitchen Tools,Air Fryer,5184,2024-01-01 12:00:00,Delhi,Online,8,37,41472
Beauty & Personal Care,Trimmer,1345,2024-01-01 13:00:00,Mohali,Offline,8,105,10760
Home Decor,Wall Clock,966,2024-01-01 14:00:00,Amritsar,Offline,10,108,9660
Footwear,Boots,1689,2024-01-01 15:00:00,Jalandhar,Online,13,88,21957
Kitchen Tools,Toaster,1659,2024-01-01 16:00:00,Mohali,Offline,14,109,23226
Electronics,Camera,133355,2024-01-01 17:00:00,Gurugram,Online,4,11,533420
Automotive,Car Wax,718,2024-01-01 18:00:00,Gurugram,Online,14,48,10052
Beauty & Personal Care,Trimmer,1345,2024-01-01 19:00:00,Patiala,Online,4,177,5380
Home Decor,Wall Painting,1146,2024-01-01 20:00:00,Ludhiana,Offline,13,62,14898
Beauty & Personal Care,Sunscreen,1176,2024-01-01 21:00:00,Jalandhar,Offline,14,139,16464
Beauty & Personal Care,Perfume,3214,2024-01-01 22:00:00,Noida,Online,12,114,38568
Kitchen Tools,Toaster,1659,2024-01-01 23:00:00,Jalandhar,Online,2,147,3318
Books,Children Story,463,2024-01-02 00:00:00,Jalandhar,Online,14,64,6482
Kitchen Tools,Induction Cooktop,2021,2024-01-02 01:00:00,Mohali,Online,6,121,12126
Fitness Gear,Jump Rope,589,2024-01-02 02:00:00,Gurugram,Offline,3,96,1767
Furniture,Office Chair,4886,2024-01-02 03:00:00,Patiala,Offline,13,55,63518
Stationery,Desk Organizer,464,2024-01-02 04:00:00,Mohali,Offline,10,41,4640
Men Clothing,Jeans,1235,2024-01-02 05:00:00,Amritsar,Online,14,26,17290
Toys & Games,Lego Set,5297,2024-01-02 06:00:00,Gurugram,Online,14,12,74158
Home Decor,Cushion Covers,350,2024-01-02 07:00:00,Delhi,Online,13,12,4550
Books,Biography,804,2024-01-02 08:00:00,Amritsar,Online,12,30,9648
Fitness Gear,Resistance Bands,687,2024-01-02 09:00:00,Mohali,Online,4,160,2748
Automotive,Tyre Inflator,3495,2024-01-02 10:00:00,Chandigarh,Offline,3,80,10485
Toys & Games,Puzzle,601,2024-01-02 11:00:00,Noida,Online,6,76,3606
Toys & Games,Doll House,1661,2024-01-02 12:00:00,Chandigarh,Offline,11,153,18271
Stationery,Stapler,108,2024-01-02 13:00:00,Chandigarh,Online,7,133,756
Stationery,Desk Organizer,464,2024-01-02 14:00:00,Ludhiana,Online,8,102,3712
Books,Business,766,2024-01-02 15:00:00,Amritsar,Offline,12,131,9192
Automotive,Seat Cover,7258,2024-01-02 16:00:00,Mohali,Offline,4,162,29032
Automotive,Seat Cover,7258,2024-01-02 17:00:00,Ludhiana,Offline,10,120,72580
Stationery,Backpack,1952,2024-01-02 18:00:00,Delhi,Online,5,195,9760
Footwear,Formal Shoes,1974,2024-01-02 19:00:00,Amritsar,Offline,5,162,9870
Home Decor,Wall Painting,1146,2024-01-02 20:00:00,Mohali,Online,9,179,10314
Men Clothing,Shorts,488,2024-01-02 21:00:00,Jalandhar,Offline,14,58,6832
Toys & Games,Doll House,1661,2024-01-02 22:00:00,Gurugram,Online,4,137,6644
Footwear,Sneakers,848,2024-01-02 23:00:00,Delhi,Online,4,20,3392
Home Decor,Mirror,1840,2024-01-03 00:00:00,Patiala,Online,6,14,11040
Automotive,Car Perfume,262,2024-01-03 01:00:00,Ludhiana,Online,3,114,786
Kitchen Tools,Kettle,1252,2024-01-03 02:00:00,Chandigarh,Online,9,175,11268
Books,Cookbook,1455,2024-01-03 03:00:00,Chandigarh,Offline,7,156,10185
Gardening,Hose Pipe,587,2024-01-03 04:00:00,Mohali,Online,1,14,587
Books,Self-Help,391,2024-01-03 05:00:00,Ludhiana,Online,9,119,3519
Toys & Games,Cricket Bat,1069,2024-01-03 06:00:00,Gurugram,Online,9,147,9621
Men Clothing,Shirt,402,2024-01-03 07:00:00,Amritsar,Online,6,133,2412
Automotive,Car Perfume,262,2024-01-03 08:00:00,Patiala,Online,10,111,2620
Home Decor,Mirror,1840,2024-01-03 09:00:00,Mohali,Online,6,133,11040
Electronics,Camera,133355,2024-01-03 10:00:00,Delhi,Offline,4,19,533420
Books,Biography,804,2024-01-03 11:00:00,Gurugram,Offline,4,6,3216
Gardening,Garden Shovel,202,2024-01-03 12:00:00,Chandigarh,Online,2,55,404
Women Clothing,Skirt,516,2024-01-03 13:00:00,Ludhiana,Online,6,38,3096
Fitness Gear,Yoga Mat,961,2024-01-03 14:00:00,Mohali,Online,6,186,5766
Men Clothing,Kurta,471,2024-01-03 15:00:00,Gurugram,Online,5,198,2355
Stationery,Notebook Set,579,2024-01-03 16:00:00,Jalandhar,Online,4,157,2316
Electronics,Tablet,16685,2024-01-03 17:00:00,Amritsar,Online,11,166,183535
Furniture,Bookshelf,2794,2024-01-03 18:00:00,Amritsar,Offline,7,143,19558
Beauty & Personal Care,Sunscreen,1176,2024-01-03 19:00:00,Noida,Online,1,193,1176
Fitness Gear,Cycling Machine,9021,2024-01-03 20:00:00,Noida,Offline,9,79,81189
Men Clothing,Kurta,471,2024-01-03 21:00:00,Amritsar,Online,14,137,6594
Fitness Gear,Gym Bag,865,2024-01-03 22:00:00,Gurugram,Online,8,26,6920
Beauty & Personal Care,Shampoo,441,2024-01-03 23:00:00,Ludhiana,Offline,7,107,3087
Automotive,Car Perfume,262,2024-01-04 00:00:00,Gurugram,Offline,6,134,1572
Automotive,Car Wax,718,2024-01-04 01:00:00,Ludhiana,Online,4,138,2872
Women Clothing,Jeans,1358,2024-01-04 02:00:00,Mohali,Online,13,82,17654
Books,Mystery,505,2024-01-04 03:00:00,Delhi,Online,3,177,1515
Stationery,Backpack,1952,2024-01-04 04:00:00,Patiala,Online,10,15,19520
Kitchen Tools,Air Fryer,5184,2024-01-04 05:00:00,Amritsar,Online,9,144,46656
Home Decor,Vase,643,2024-01-04 06:00:00,Jalandhar,Online,4,139,2572
Footwear,Sandals,1110,2024-01-04 07:00:00,Ludhiana,Online,4,85,4440
Beauty & Personal Care,Hair Dryer,3061,2024-01-04 08:00:00,Jalandhar,Online,2,47,6122
Toys & Games,Action Figure,2000,2024-01-04 09:00:00,Chandigarh,Online,10,193,20000
Gardening,Watering Can,281,2024-01-04 10:00:00,Ludhiana,Offline,3,14,843
Books,Fiction Novel,589,2024-01-04 11:00:00,Patiala,Online,1,136,589
Gardening,Watering Can,281,2024-01-04 12:00:00,Ludhiana,Online,14,37,3934
Home Decor,Curtains,819,2024-01-04 13:00:00,Delhi,Offline,13,67,10647
Books,Biography,804,2024-01-04 14:00:00,Amritsar,Offline,7,65,5628
Automotive,Engine Oil,2198,2024-01-04 15:00:00,Amritsar,Online,5,35,10990
Automotive,Car Wax,718,2024-01-04 16:00:00,Patiala,Online,9,76,6462
Footwear,Flip Flops,214,2024-01-04 17:00:00,Ludhiana,Offline,8,175,1712
Women Clothing,Kurti,387,2024-01-04 18:00:00,Amritsar,Online,3,155,1161
Toys & Games,Puzzle,601,2024-01-04 19:00:00,Jalandhar,Offline,2,134,1202
Gardening,Hose Pipe,587,2024-01-04 20:00:00,Gurugram,Offline,11,80,6457
Furniture,Bedside Table,2485,2024-01-04 21:00:00,Noida,Online,3,147,7455
Books,Academic,634,2024-01-04 22:00:00,Chandigarh,Offline,14,69,8876
Furniture,Office Chair,4886,2024-01-04 23:00:00,Jalandhar,Online,12,169,58632
Fitness Gear,Cycling Machine,9021,2024-01-05 00:00:00,Chandigarh,Offline,13,28,117273
Gardening,Plant Pots,395,2024-01-05 01:00:00,Amritsar,Offline,10,152,3950
Footwear,Sandals,1110,2024-01-05 02:00:00,Patiala,Online,4,72,4440
Beauty & Personal Care,Hair Dryer,3061,2024-01-05 03:00:00,Chandigarh,Online,10,41,30610
Automotive,Tyre Inflator,3495,2024-01-05 04:00:00,Patiala,Offline,13,78,45435
Automotive,Car Wax,718,2024-01-05 05:00:00,Chandigarh,Online,13,196,9334
Men Clothing,Jeans,1235,2024-01-05 06:00:00,Mohali,Online,4,96,4940
Toys & Games,Puzzle,601,2024-01-05 07:00:00,Mohali,Online,5,30,3005
Footwear,Sneakers,848,2024-01-05 08:00:00,Amritsar,Offline,5,76,4240
Stationery,Backpack,1952,2024-01-05 09:00:00,Delhi,Online,6,8,11712
Home Decor,Wall Painting,1146,2024-01-05 10:00:00,Mohali,Offline,1,63,1146
Fitness Gear,Jump Rope,589,2024-01-05 11:00:00,Patiala,Online,14,30,8246
Footwear,Heels,1299,2024-01-05 12:00:00,Chandigarh,Offline,14,177,18186
Stationery,Stapler,108,2024-01-05 13:00:00,Amritsar,Online,7,30,756
Automotive,Microfiber Cloth,180,2024-01-05 14:00:00,Amritsar,Online,12,116,2160
Toys & Games,Puzzle,601,2024-01-05 15:00:00,Patiala,Offline,5,93,3005
Women Clothing,Handbag,699,2024-01-05 16:00:00,Jalandhar,Online,2,131,1398
Gardening,Pruning Shears,1063,2024-01-05 17:00:00,Chandigarh,Offline,5,116,5315
Furniture,Bean Bag,1455,2024-01-05 18:00:00,Mohali,Offline,5,62,7275
Fitness Gear,Yoga Mat,961,2024-01-05 19:00:00,Chandigarh,Online,2,16,1922
Beauty & Personal Care,Trimmer,1345,2024-01-05 20:00:00,Chandigarh,Online,5,175,6725
Fitness Gear,Gym Bag,865,2024-01-05 21:00:00,Mohali,Online,10,199,8650
Home Decor,Wall Painting,1146,2024-01-05 22:00:00,Noida,Offline,6,175,6876
Books,Biography,804,2024-01-05 23:00:00,Mohali,Offline,8,157,6432
Men Clothing,T-Shirt,492,2024-01-06 00:00:00,Patiala,Online,12,168,5904
Automotive,Seat Cover,7258,2024-01-06 01:00:00,Amritsar,Offline,6,122,43548
Home Decor,Cushion Covers,350,2024-01-06 02:00:00,Mohali,Offline,7,177,2450
Women Clothing,Top,766,2024-01-06 03:00:00,Gurugram,Offline,12,192,9192
Books,Fiction Novel,589,2024-01-06 04:00:00,Gurugram,Online,1,41,589
Stationery,Whiteboard,2367,2024-01-06 05:00:00,Mohali,Online,1,57,2367
Electronics,Smartphone,70263,2024-01-06 06:00:00,Patiala,Offline,7,153,491841
Home Decor,Mirror,1840,2024-01-06 07:00:00,Delhi,Offline,2,50,3680
Women Clothing,Top,766,2024-01-06 08:00:00,Amritsar,Online,3,120,2298
Toys & Games,Action Figure,2000,2024-01-06 09:00:00,Delhi,Online,6,179,12000
Women Clothing,Skirt,516,2024-01-06 10:00:00,Jalandhar,Online,9,29,4644
Home Decor,Photo Frame,220,2024-01-06 11:00:00,Chandigarh,Online,14,50,3080
Automotive,Seat Cover,7258,2024-01-06 12:00:00,Noida,Online,5,48,36290
Gardening,Pruning Shears,1063,2024-01-06 13:00:00,Delhi,Offline,5,22,5315
Women Clothing,Handbag,699,2024-01-06 14:00:00,Chandigarh,Offline,14,176,9786
Beauty & Personal Care,Sunscreen,1176,2024-01-06 15:00:00,Mohali,Online,13,153,15288
Fitness Gear,Protein Shaker,405,2024-01-06 16:00:00,Gurugram,Offline,12,133,4860
Men Clothing,Jeans,1235,2024-01-06 17:00:00,Gurugram,Offline,14,159,17290
Toys & Games,Action Figure,2000,2024-01-06 18:00:00,Ludhiana,Online,5,8,10000
Furniture,Bean Bag,1455,2024-01-06 19:00:00,Gurugram,Offline,1,161,1455
Home Decor,Curtains,819,2024-01-06 20:00:00,Chandigarh,Offline,6,178,4914
Automotive,Engine Oil,2198,2024-01-06 21:00:00,Mohali,Offline,8,76,17584
Men Clothing,Trousers,806,2024-01-06 22:00:00,Chandigarh,Online,14,85,11284
Furniture,Bedside Table,2485,2024-01-06 23:00:00,Delhi,Online,6,113,14910
Gardening,Fertilizer,991,2024-01-07 00:00:00,Chandigarh,Online,1,125,991
Home Decor,Curtains,819,2024-01-07 01:00:00,Delhi,Offline,5,52,4095
Electronics,Tablet,16685,2024-01-07 02:00:00,Chandigarh,Offline,12,199,200220
Kitchen Tools,Knife Set,357,2024-01-07 03:00:00,Jalandhar,Offline,4,108,1428
Kitchen Tools,Air Fryer,5184,2024-01-07 04:00:00,Ludhiana,Online,6,139,31104
Beauty & Personal Care,Moisturizer,800,2024-01-07 05:00:00,Patiala,Offline,14,119,11200
Furniture,Bedside Table,2485,2024-01-07 06:00:00,Mohali,Online,14,137,34790
Stationery,Art Colors,1480,2024-01-07 07:00:00,Patiala,Offline,10,193,14800
Gardening,Hose Pipe,587,2024-01-07 08:00:00,Noida,Online,9,197,5283
Beauty & Personal Care,Face Wash,465,2024-01-07 09:00:00,Chandigarh,Offline,10,169,4650
Footwear,Running Shoes,1782,2024-01-07 10:00:00,Gurugram,Online,8,41,14256
Stationery,Art Colors,1480,2024-01-07 11:00:00,Amritsar,Offline,14,163,20720
Home Decor,Table Lamp,1130,2024-01-07 12:00:00,Noida,Offline,1,145,1130
Beauty & Personal Care,Hair Dryer,3061,2024-01-07 13:00:00,Gurugram,Offline,1,147,3061
Furniture,TV Unit,6016,2024-01-07 14:00:00,Delhi,Online,4,98,24064
Books,Children Story,463,2024-01-07 15:00:00,Jalandhar,Online,9,80,4167
Women Clothing,Dress,2238,2024-01-07 16:00:00,Amritsar,Online,1,150,2238
Kitchen Tools,Blender,1844,2024-01-07 17:00:00,Patiala,Offline,4,52,7376
Electronics,Headphones,3391,2024-01-07 18:00:00,Jalandhar,Online,8,197,27128
Home Decor,Table Lamp,1130,2024-01-07 19:00:00,Delhi,Offline,9,190,10170
Gardening,Watering Can,281,2024-01-07 20:00:00,Amritsar,Online,12,81,3372
Men Clothing,Trousers,806,2024-01-07 21:00:00,Patiala,Online,4,46,3224
Automotive,Tyre Inflator,3495,2024-01-07 22:00:00,Noida,Online,8,16,27960
Kitchen Tools,Mixer Grinder,2276,2024-01-07 23:00:00,Delhi,Online,14,130,31864
Kitchen Tools,Mixer Grinder,2276,2024-01-08 00:00:00,Delhi,Online,11,36,25036
Men Clothing,Kurta,471,2024-01-08 01:00:00,Delhi,Online,3,23,1413
Home Decor,Vase,643,2024-01-08 02:00:00,Ludhiana,Online,2,22,1286
Women Clothing,Handbag,699,2024-01-08 03:00:00,Amritsar,Online,6,34,4194
Kitchen Tools,Toaster,1659,2024-01-08 04:00:00,Noida,Offline,2,151,3318
Books,Children Story,463,2024-01-08 05:00:00,Gurugram,Offline,10,47,4630
Men Clothing,Trousers,806,2024-01-08 06:00:00,Amritsar,Offline,12,123,9672
Books,Biography,804,2024-01-08 07:00:00,Noida,Offline,10,181,8040
Stationery,Stapler,108,2024-01-08 08:00:00,Noida,Online,2,195,216
Women Clothing,Jeans,1358,2024-01-08 09:00:00,Noida,Offline,1,120,1358
Home Decor,Curtains,819,2024-01-08 10:00:00,Gurugram,Offline,8,153,6552
Home Decor,Photo Frame,220,2024-01-08 11:00:00,Delhi,Online,10,62,2200
Beauty & Personal Care,Perfume,3214,2024-01-08 12:00:00,Jalandhar,Online,1,147,3214
Women Clothing,Skirt,516,2024-01-08 13:00:00,Amritsar,Online,5,152,2580
Electronics,Camera,133355,2024-01-08 14:00:00,Ludhiana,Online,5,65,666775
Furniture,Bean Bag,1455,2024-01-08 15:00:00,Chandigarh,Offline,1,106,1455
Stationery,Whiteboard,2367,2024-01-08 16:00:00,Delhi,Offline,12,164,28404
Books,Cookbook,1455,2024-01-08 17:00:00,Delhi,Online,2,149,2910
Women Clothing,Top,766,2024-01-08 18:00:00,Gurugram,Online,8,24,6128
Furniture,Study Table,2815,2024-01-08 19:00:00,Patiala,Online,11,104,30965
Women Clothing,Dress,2238,2024-01-08 20:00:00,Delhi,Offline,5,136,11190
Fitness Gear,Dumbbells,4152,2024-01-08 21:00:00,Amritsar,Online,6,76,24912
Home Decor,Curtains,819,2024-01-08 22:00:00,Patiala,Online,7,134,5733
Furniture,Office Chair,4886,2024-01-08 23:00:00,Noida,Online,10,145,48860
Gardening,Hose Pipe,587,2024-01-09 00:00:00,Chandigarh,Offline,11,43,6457
Footwear,Sneakers,848,2024-01-09 01:00:00,Amritsar,Online,14,194,11872
Books,Academic,634,2024-01-09 02:00:00,Amritsar,Offline,1,159,634
Home Decor,Curtains,819,2024-01-09 03:00:00,Amritsar,Online,7,104,5733
Home Decor,Wall Clock,966,2024-01-09 04:00:00,Amritsar,Online,2,71,1932
Footwear,Sneakers,848,2024-01-09 05:00:00,Delhi,Offline,12,143,10176
Toys & Games,Action Figure,2000,2024-01-09 06:00:00,Noida,Online,4,91,8000
Footwear,Boots,1689,2024-01-09 07:00:00,Noida,Online,5,19,8445
Kitchen Tools,Air Fryer,5184,2024-01-09 08:00:00,Jalandhar,Online,5,183,25920
Women Clothing,Skirt,516,2024-01-09 09:00:00,Mohali,Offline,4,59,2064
Fitness Gear,Cycling Machine,9021,2024-01-09 10:00:00,Gurugram,Offline,3,181,27063
Fitness Gear,Yoga Mat,961,2024-01-09 11:00:00,Delhi,Online,6,143,5766
Footwear,Heels,1299,2024-01-09 12:00:00,Noida,Offline,10,40,12990
Books,Cookbook,1455,2024-01-09 13:00:00,Delhi,Offline,11,103,16005
Books,Self-Help,391,2024-01-09 14:00:00,Amritsar,Online,10,43,3910
Home Decor,Vase,643,2024-01-09 15:00:00,Noida,Offline,2,160,1286
Women Clothing,Jeans,1358,2024-01-09 16:00:00,Amritsar,Offline,10,54,13580
Women Clothing,Saree,1021,2024-01-09 17:00:00,Chandigarh,Online,1,31,1021
Automotive,Engine Oil,2198,2024-01-09 18:00:00,Amritsar,Online,3,40,6594
Kitchen Tools,Induction Cooktop,2021,2024-01-09 19:00:00,Mohali,Online,14,136,28294
Books,Mystery,505,2024-01-09 20:00:00,Jalandhar,Online,8,6,4040
Electronics,Smartphone,70263,2024-01-09 21:00:00,Noida,Offline,1,198,70263
Women Clothing,Jeans,1358,2024-01-09 22:00:00,Gurugram,Online,13,172,17654
Home Decor,Vase,643,2024-01-09 23:00:00,Patiala,Online,4,117,2572
Automotive,Engine Oil,2198,2024-01-10 00:00:00,Patiala,Offline,3,65,6594
Books,Mystery,505,2024-01-10 01:00:00,Mohali,Online,13,115,6565
Gardening,Artificial Grass,716,2024-01-10 02:00:00,Jalandhar,Online,12,138,8592
Gardening,Hose Pipe,587,2024-01-10 03:00:00,Patiala,Online,4,188,2348
Books,Self-Help,391,2024-01-10 04:00:00,Delhi,Online,10,76,3910
Automotive,Tyre Inflator,3495,2024-01-10 05:00:00,Patiala,Online,6,198,20970
Gardening,Artificial Grass,716,2024-01-10 06:00:00,Delhi,Online,3,113,2148
Footwear,Formal Shoes,1974,2024-01-10 07:00:00,Chandigarh,Online,12,179,23688
Fitness Gear,Cycling Machine,9021,2024-01-10 08:00:00,Mohali,Offline,6,71,54126
Books,Cookbook,1455,2024-01-10 09:00:00,Noida,Offline,6,17,8730
Toys & Games,Board Game,1102,2024-01-10 10:00:00,Jalandhar,Online,6,102,6612
Beauty & Personal Care,Perfume,3214,2024-01-10 11:00:00,Chandigarh,Online,1,88,3214
Toys & Games,Board Game,1102,2024-01-10 12:00:00,Amritsar,Online,5,114,5510
Automotive,Microfiber Cloth,180,2024-01-10 13:00:00,Gurugram,Online,4,69,720
Books,Cookbook,1455,2024-01-10 14:00:00,Ludhiana,Online,11,130,16005
Books,Children Story,463,2024-01-10 15:00:00,Gurugram,Online,4,28,1852
Women Clothing,Saree,1021,2024-01-10 16:00:00,Amritsar,Online,1,71,1021
Kitchen Tools,Kettle,1252,2024-01-10 17:00:00,Mohali,Online,11,85,13772
Kitchen Tools,Air Fryer,5184,2024-01-10 18:00:00,Noida,Offline,13,29,67392
Toys & Games,Lego Set,5297,2024-01-10 19:00:00,Jalandhar,Online,14,175,74158
Furniture,Study Table,2815,2024-01-10 20:00:00,Amritsar,Offline,13,92,36595
Kitchen Tools,Knife Set,357,2024-01-10 21:00:00,Ludhiana,Online,7,89,2499
Home Decor,Mirror,1840,2024-01-10 22:00:00,Gurugram,Online,13,111,23920
Fitness Gear,Yoga Mat,961,2024-01-10 23:00:00,Noida,Offline,14,15,13454
Fitness Gear,Cycling Machine,9021,2024-01-11 00:00:00,Chandigarh,Offline,4,178,36084
Home Decor,Curtains,819,2024-01-11 01:00:00,Amritsar,Offline,3,58,2457
Stationery,Stapler,108,2024-01-11 02:00:00,Noida,Online,7,149,756
Gardening,Fertilizer,991,2024-01-11 03:00:00,Jalandhar,Online,5,167,4955
Fitness Gear,Protein Shaker,405,2024-01-11 04:00:00,Delhi,Offline,11,17,4455
Stationery,Notebook Set,579,2024-01-11 05:00:00,Jalandhar,Offline,5,130,2895
Fitness Gear,Jump Rope,589,2024-01-11 06:00:00,Patiala,Online,7,72,4123
